id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
35061,UA-7707,small_airport,"Pryluki Air Base",50.56669998168945,32.31669998168945,449,EU,Ukraine,UA,"Chernihiv Oblast",UA-74,74,Pryluky,0,,,,,https://en.wikipedia.org/wiki/Pryluky_(air_base),"Pryluky Air Base, Аэродром Прилуки",50,2009-04-24T16:10:52+00:00
351422,UA-0171,closed,"Prymors'k Airport",46.7441,36.32766,89,EU,Ukraine,UA,"Zaporizhia Oblast",UA-23,23,Prymors'k,0,,,,,,,50,2023-08-28T02:11:17+00:00
340330,UA-0135,small_airport,"Pryvillia Airfield",46.1497,33.4064,,EU,Ukraine,UA,"Kherson Oblast",UA-65,65,Pryvillia,0,,,,,,,50,2021-12-30T15:50:44+00:00
324581,UA-0119,small_airport,"Romashky Airstrip",49.7354043,30.5536534,,EU,Ukraine,UA,"Kyiv Oblast",UA-32,32,Romashky,0,,,,,,,50,2017-07-29T00:36:36+00:00
35070,UA-1901,small_airport,"Sambir Air Base",49.549999,23.334999,860,EU,Ukraine,UA,"Lviv Oblast",UA-46,46,Sambir,0,UKLA,,,,https://en.wikipedia.org/wiki/Sambir_(air_base),,50,2023-09-21T13:59:04+00:00
44309,UA-0018,small_airport,"Sevastopol Kozachya Bay Aerodrome / Khersones Air Base",44.578466,33.395462,46,EU,Ukraine,UA,"Sevastopol (city)",UA-40,40,Sevastopol,0,,,,,,"Hersones Air Base, Аэродром Херсонес, Khersones Air Base, Kozachya Bukhta",50,2021-03-19T15:55:16+00:00
320486,UA-0089,small_airport,"Shevchenkove Airstrip",50.876703,29.071036,,EU,Ukraine,UA,"Zhytomyr Oblast",UA-18,18,Shevchenkove,0,,,,,,,50,2021-01-27T15:59:46+00:00
351115,UA-0170,small_airport,"Shyroke Airport",46.94635,34.91222,238,EU,Ukraine,UA,"Zaporizhia Oblast",UA-23,23,Shyroke,0,,,,,,,50,2021-12-30T16:12:34+00:00
44429,UKCS,small_airport,"Sievierodonetsk Airport",48.900926,38.54279,236,EU,Ukraine,UA,"Luhansk Oblast",UA-09,09,Sievierodonetsk,0,UKCS,SEV,,,,"Severodonetsk Airport, Аеропорт Северодонецьк, Аэропорт Северодонецк",50,2021-03-10T13:38:32+00:00
44312,UA-0021,small_airport,"Skadovsk Airfield",46.131888,32.902506,7,EU,Ukraine,UA,"Kherson Oblast",UA-65,65,Skadovsk,0,UKOS,,,,,"Аэродром Скадовск",50,2021-10-16T05:52:37+00:00
320733,UA-0094,small_airport,"Smodna Airfield",48.306675,25.14064,,EU,Ukraine,UA,"Ivano-Frankivsk Oblast",UA-26,26,Smodna,0,,,,,,,50,2021-01-27T16:03:19+00:00
